ingredient_name,rating,functions,benefits
Hydrogenated Polycyclopentadiene,GOOD,A synthetic resin that is often added to cosmetic blends to help enhance the adhesion and substantivity of the formulation. Provides resistance to water and rubbing. May impart glossy finish.,
Hydrogenated Polydecene,GOOD,Synthetic emollient and skin-softening agent. In certain formulations it lends a non-occlusive film for added skin barrier protection.,Hydration
Hydrogenated Polyisobutene,GOOD,"Synthetic emollient with research backing its ability to provide long-lasting moisture retention. It acts as a lubricant on skin's surface, providing a soft, smooth feel.",Hydration
Hydrogenated Rice Bran Oil,GOOD,This plant oil serves as a skin and hair conditioning ingredient and has antioxidant properties.,"Anti-Aging, Hydration"
Hydrogenated Starch Hydrolysate,GOOD,Humectant (hydrator) and film-forming agent that helps protect skin’s barrier.,Hydration
Hydrogenated Styrene/Isoprene Copolymer,GOOD,"This synthetic polymer serves as a film-forming, opacifying, viscosity-controlling  and emulsifying agent in cosmetics.",
Hydrogenated Vegetable Glycerides Citrate,GOOD,A hydrogenated blend of vegetable glycerides that functions chiefly as an emollient and texture enhancer in cosmetics.,Hydration
Hydrogenated Vegetable Oil,GOOD,Skin-softening emollient that helps enhance hydration by forming a barrier on skin’s surface to reduce moisture loss.,Hydration
Hydrolyzed Acacia Macrostachya Seed Extract,GOOD,"The extract from the seed of the Acacia macrostachya plant, a tropical shrub.",Anti-Aging
Hydrolyzed Caesalpinia Spinosa Gum,GOOD,Natural thickener and viscosity-enhancing ingredient; may also provide hydrating properties and soft after-feel.,Hydration
Hydrolyzed Collagen,GOOD,"Humectant that helps attract and bind moisture to skin, promoting skin hydration and a dewy, smooth look.",Hydration
Hydrolyzed Corn Starch,GOOD,"Modified version of corn starch that delivers humectant (hydrating) properties. May also be used to adjust the opacity, viscosity & cohesiveness of the formula.","Oil Control, Hydration"
Hydrolyzed Elastin,GOOD,Humectant that helps attract water to skin’s surface.,Hydration
Hydrolyzed Extensin,GOOD,Plant-derived protein rich in amino acids that has hydrating benefits.,Hydration
Hydrolyzed Ginseng Saponins,GOOD,Unknown,"Anti-Aging, Hydration"
Hydrolyzed Jojoba Protein,GOOD,Protein fraction of seeds from the jojoba plant that has been hydrolyzed.,Hydration
Hydrolyzed Pea Protein,GOOD,Hydrolyzed Pea Protein,Hydration
Hydrolyzed Silk,GOOD,"An animal-derived byproduct made by hydrolyzing the silk protein obtained from the spent cocoon of the silkworm. Helps to condition skin and hair, imparting a smooth feel.",Hydration
Hydrolyzed Vegetable Protein,GOOD,"The protein portion of vegetables obtained by hydrolysis, which is the breakdown of a substance when it's reacted with water. This natural ingredient conditions skin and hair.",Hydration
Hydrolyzed Wheat Protein,GOOD,"Versatile ingredient that can function as a film-forming agent, hydrator, and conditioning agent for skin or hair.",Hydration
Hydroxyapatite,GOOD,"Hydroxyapatite is a mineral found in bones, teeth and phosphate rock. The type used in cosmetics is mineral-derived.",
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,GOOD,"A synthetic polymer whose versatility gives it many aesthetically pleasing uses in cosmetics while helping create and maintain stable, effective formulas.",
Hydroxyethylcellulose,GOOD,This naturally derived ingredient serves as a thickening agent in cosmetics and has clinical and food usages as well.,
Hydroxymethoxyphenyl Decanone,GOOD,Synthetic antioxidant that’s comparable to a key antioxidant found in some plants. Exhibits anti-aging and soothing properties.,"Anti-Aging, Soothing"
Hydroxyphenyl Propamidobenzoic Acid,GOOD,Synthetic ingredient that offers skin-soothing benefits and can also be used to improve formulary texture.,Soothing
Hydroxypropyl Cyclodextrin,GOOD,Plant- derived or synthetic carbohydrate that functions as a chelating agent and stabilizer in skin care formulations. Prevents metal ions or metallic compounds from adhering to skin.,
Hydroxypropyl Guar,GOOD,"Legume-derived polysaccharide that serves as a thickening agent in skin care, makeup, and hair care formulations.",
Hydroxypropyl Methylcellulose,GOOD,"Texture enhancer and film-forming agent used in cosmetics to create cohesive, stable formulas.",
Hydroxypropyl Starch Phosphate,GOOD,A plant-based or synthetic starch ingredient that functions as a thickener or bulking agent in cosmetics.,
Hydroxypropyl Tetrahydropyrantriol,GOOD,Derived from xylose (a sugar abundant in beech trees); used in skin care products for its purported anti-aging and hydrating properties. Also known as Pro-Xylane.,"Anti-Aging, Hydration"
Hydroxystearic Acid,GOOD,"A gentle, plant-derived ingredient whose versatility lends itself to many types of cosmetics, including cleansers, sunscreens, hair care, and makeup.",
Hylocereus Undatus Fruit Extract,GOOD,"An antioxidant derived from the flesh of white dragon fruit which helps combat external aggressors so skin can maintain a youthful, healthy appearance.",Anti-Aging
Hypochlorous Acid,GOOD,"Multi-tasking skin-smoothing and soothing ingredient that helps tackle harmful microorganisms that can go on to irritate, sensitize and cause breakouts.","Smooths Bumpy Skin, Soothing"
Hyssop,GOOD,"The flower, leaf, and stem of this plant are sources of antioxidants.",Anti-Aging
Illite,GOOD,Illite is a mineral-sourced natural thickener that is sometimes referred to as French green clay.,Oil Control
Inactive Ingredient,GOOD,Provides support for the active ingredients in a skin care formula and lends cosmetic benefits.,"Categories: Occlusive/Opacifying Agent, Polymer, Texture Enhancer"
Iodopropynyl Butylcarbamate,GOOD,A synthetic preservative that is typically used in concentrations of 0.1% or less.,
Isoamyl Cocoate,GOOD,"A mix of non-irritating fatty alcohol isoamyl alcohol and coconut acid, this natural ingredient works as an emollient on skin.",Hydration
Isoamyl Laurate,GOOD,Imparts a velvety-soft feel and enhances spreadability of the formula.,Hydration
Isobutyl Acetate,GOOD,"Solvent used to dissolve or break down other ingredients, such as gases or solids, to form a solution.",
Isobutylparaben,GOOD,"Parabens are a group of controversial preservatives that include butylparaben, isobutylparaben, propylparaben, methylparaben, and ethylparaben.",
Isoceteth-20,GOOD,Mild surfactant noted for its ability to gently cleanse with minimal disruption to skin’s barrier. Also functions as an emulsifier and solubilizing agent.,
Isodecyl Neopentanoate,GOOD,"A synthetic emollient with silicone-like aesthetics. Its silky, dry finish helps deliver oil-soluble ingredients to skin.",Hydration
Isododecane,GOOD,Hydrocarbon ingredient used as a solvent. Isododecane enhances the spreadability of products and.,
Isohexadecane,GOOD,"Multitasking ingredient that plays various roles including cleansing agent, solvent, texture enhancer, and skin-conditioning agent. Imparts a non-greasy, lightweight, silky feel.",
Isoleucine,GOOD,Amino acid that whose humectant properties help maintain skin’s hydration while consuming isoleucine via foods supports skin’s collagen and elastin.,Hydration
Isononyl Isononanoate,GOOD,This synthetic ester is derived from naturally occurring esters of nonanoic (9-carbon) acid found in cocoa and other plant oils. It has been ruled safe as used in cosmetics.,
Isoparaffin,GOOD,Unknown,
Isopentyldiol,GOOD,Synthetic solvent that also adds hydration to skin thanks to its humectant properties.,Hydration
Isopropyl Isostearate,GOOD,The ester of isopropyl alcohol and isostearic acid. It is used as a skin-conditioning agent and emollient in cosmetics products.,Hydration
Isopropyl Lanolate,GOOD,"Derived from lanolin, it is used in cosmetics as a thickening agent and emollient.",Hydration
Isopropyl Myristate,GOOD,Texture enhancer and emollient as used in cosmetics.,Hydration
Isopropyl Palmitate,GOOD,Texture enhancer and emollient as used in cosmetics.,Hydration
Isopropyl Titanium Triisostearate,GOOD,This ingredient is used both to provide a uniform coating for color pigments in makeup and to improve the stability of titanium dioxide nanoparticles in sunscreens.,
Isopropyl Titanium Triisostearte/Triethoxycaprylylsilane Crosspolymer,GOOD,"A synthetic, silicone-enhanced polymer.",
Isostearamide DEA,GOOD,"Used as a surfactant, water-binding agent, and thickening agent.",
Isostearic Acid,GOOD,Fatty acid used as a binding agent and thickener.,
Isostearyl Isostearate,GOOD,A liquid emollient ester made from isostearic acid and isostearyl alcohol. Works to prevent water loss and help improve product texture.,Hydration
Isostearyl Neopentanoate,GOOD,This ester is used in cosmetics as an emollient and binding agent. It can also function as a solvent for some UV absorbers.,Hydration
Isostearyl Palmitate,GOOD,"This ester is used as an emollient and binding agent, imparting a lightweight, silky feel to cosmetics formulas.",Hydration
Japan Wax,GOOD,"Vegetable wax obtained from sumac berries, and used as a thickening agent and emollient in.",Hydration
Jujube Fruit Extract,GOOD,Asian plant extract that has soothing properties and may also provide other benefits.,Soothing
Kaolin,GOOD,"Natural, highly absorbent clay that also helps to thicken cosmetics, modify product slip, add opacity, and prevent makeup and skin care formulas from caking.","Oil Control, Pore Minimizer"
Kelp Extract,GOOD,"This type of seaweed is rich in multiple beneficial ingredients, including antioxidants.","Anti-Aging, Soothing, Hydration"
Kojic Acid,GOOD,By-product of the fermentation process of malting rice for use in the manufacture of sake.,"Dark Spot Fading, Evens Skin Tone, Anti-Aging"
Kojic Dipalmitate,GOOD,A mixture of kojic acid and palmitic acid. It functions as a skin-conditioning agent and antioxidant.,"Anti-Aging, Hydration"
Lactobacillus/Rice Ferment Filtrate,GOOD,The fermented filtrate of Oryza sativa (rice) also known as sake. Contains antioxidant benefits as well as soothing and skin-tone evening properties.,"Anti-Aging, Evens Skin Tone, Soothing"
Lactobacillus Punica Granatum Fruit Ferment Extract,GOOD,"Multi-tasking ferment of Punica granatum fruit extract that assists with visible signs of aging, like fine lines and dark spots, and provides light exfoliation.","Anti-Aging, Evens Skin Tone, Smooths Bumpy Skin"
Lactobionate,GOOD,Polysaccharide that has water-binding properties for skin.,Hydration
Lactococcus Ferment Lysate,GOOD,Postbiotic skin care ingredient with potential anti-aging benefits due to its mitigation of visible sun damage. May also improve skin’s ability to withstand compromising influences and external stressors.,Anti-Aging
Lactose,GOOD,Type of sugar found in the milk of mammals that acts as a humectant in skin care products.,Hydration
Laminaria Longicruris,GOOD,Extract from a type of algae that offers antioxidant and soothing benefits for skin.,
Lanolin,GOOD,"Emollient, very thick substance derived from sheep.",Hydration
Lanolin Alcohol,GOOD,Emollient derived from lanolin.,Hydration
Larrea Divaricata Extract,GOOD,The extract of a small evergreen bush known as chaparral. It has antioxidant properties.,Anti-Aging
Larrea Tridentata,GOOD,Plant that can offer antioxidant properties for skin.,Anti-Aging
Larrea Tridentata Extract,GOOD,Plant that can offer antioxidant properties for skin.,Anti-Aging
Lauramidopropyl Betaine,GOOD,"Plays a variety of roles in skin care and hair care formulations, including gentle cleansing agent, foam booster, antistatic agent, viscosity adjuster, and conditioning agent.",
Lauramphocarboxyglycinate,GOOD,Mild detergent cleansing agent.,
Laurdimonium Hydroxypropyl Hydrolyzed Soy Protein,GOOD,This hydrating ingredient is made by modifying the fatty acid lauric acid and soy protein.,Hydration
Laurdimonium Hydroxypropyl Hydrolyzed Wheat Protein,GOOD,This combination of hydrolyzed wheat protein and quaternary ammonium salt can form a protective film on hair for a smoother appearance.,Hydration
